PS C:\vs_programms\cam_mlmi4\np_python> python .\try1_example_1d.py
iteration 200, loss 4.722
iteration 400, loss 5.226
iteration 600, loss 11.057
iteration 800, loss 5.250
iteration 1000, loss -3.434
Epoch: 0, Avg_loss: 4.1034503308110875
iteration 1200, loss 2.945
iteration 1400, loss 3.689
iteration 1600, loss 1.283
iteration 1800, loss -2.287
iteration 2000, loss 1.475
Epoch: 1, Avg_loss: 2.0298548406839836
iteration 2200, loss 8.658
iteration 2400, loss 1.017
iteration 2600, loss -2.231
iteration 2800, loss -1.397
iteration 3000, loss 4.434
Epoch: 2, Avg_loss: 1.8804892637245356
iteration 3200, loss 8.870
iteration 3400, loss -0.000
iteration 3600, loss 2.178
iteration 3800, loss 6.278
iteration 4000, loss -6.087
Epoch: 3, Avg_loss: 1.7742814167123289
iteration 4200, loss 2.629
iteration 4400, loss -3.561
iteration 4600, loss 2.552
iteration 4800, loss -1.340
iteration 5000, loss -2.870
Epoch: 4, Avg_loss: 1.689650330675766
iteration 5200, loss 6.191
iteration 5400, loss -9.990
iteration 5600, loss 4.982
iteration 5800, loss 1.250
iteration 6000, loss 6.175
Epoch: 5, Avg_loss: 1.6957458262890577
iteration 6200, loss 6.688
iteration 6400, loss 0.742
iteration 6600, loss -5.661
iteration 6800, loss 7.606
iteration 7000, loss 4.965
Epoch: 6, Avg_loss: 1.7437360698385165
iteration 7200, loss -0.942
iteration 7400, loss -3.104
iteration 7600, loss 6.404
iteration 7800, loss 1.427
iteration 8000, loss 3.874
Epoch: 7, Avg_loss: 1.6257411629697307
iteration 8200, loss -3.406
iteration 8400, loss 5.561
iteration 8600, loss 5.773
iteration 8800, loss 2.206
iteration 9000, loss 3.391
Epoch: 8, Avg_loss: 1.534931715734303
iteration 9200, loss -1.661
iteration 9400, loss 3.010
iteration 9600, loss 0.799
iteration 9800, loss -4.306
iteration 10000, loss -2.174
Epoch: 9, Avg_loss: -2.114766827574
iteration 10200, loss -8.095
iteration 10400, loss -7.161
iteration 10600, loss -1.665
iteration 10800, loss 8.099
iteration 11000, loss -1.789
Epoch: 10, Avg_loss: -4.453454625159502
iteration 11200, loss -6.973
iteration 11400, loss -9.476
iteration 11600, loss -8.228
iteration 11800, loss -2.059
iteration 12000, loss -5.642
Epoch: 11, Avg_loss: -4.826919518232345
iteration 12200, loss -6.583
iteration 12400, loss -0.863
iteration 12600, loss -1.199
iteration 12800, loss -2.369
iteration 13000, loss -7.748
Epoch: 12, Avg_loss: -5.060422274410724
iteration 13200, loss -1.299
iteration 13400, loss -6.954
iteration 13600, loss -4.220
iteration 13800, loss -4.475
iteration 14000, loss -6.144
Epoch: 13, Avg_loss: -5.236694301858544
iteration 14200, loss -8.608
iteration 14400, loss -5.677
iteration 14600, loss -7.231
iteration 14800, loss -5.314
iteration 15000, loss -5.914
Epoch: 14, Avg_loss: -5.502118743814528
